date,site,site_id,site_no,sample_loc,sample_loc2,sample_no,id,length_cm,width_cm,foil_wgt_kg,wet_wgt_kg,final_wet_wgt,dry_wgt_kg,density,leaf_area_index,plot_SA,bio_den
Jul-31-2014,Goose_E,GE,6,D1,Deep,7,zostera,172,0.6,0.0029,0.0107,0.0078,,13,103.2,1341.6,0.1014
Jul-31-2014,Goose_E,GE,6,D2,Deep,1,zostera,,,,,,,12,,,
Jul-31-2014,Goose_E,GE,6,D3,Deep,2,zostera,,,,,,,12,,,
Jul-31-2014,Goose_E,GE,6,M1,Mid,8,zostera,,,,,,,9,,,
Jul-31-2014,Goose_E,GE,6,M2,Mid,9,zostera,,,,,,,11,,,
Jul-31-2014,Goose_E,GE,6,M3,Mid,6,zostera,,,,,,,14,,,
Jul-31-2014,Goose_E,GE,6,S1,Shallow,4,zostera,,,,,,,9,,,
Jul-31-2014,Goose_E,GE,6,S2,Shallow,5,zostera,154.2,0.6,0.0034,0.0157,0.0123,,4,92.52,370.08,0.0492
Jul-31-2014,Goose_E,GE,6,S3,Shallow,NA,zostera,,,,,,,10,,,
Jul-11-2014,Goose_W,GW,5,D1,Deep,7,zostera,157,0.3,0.0033,0.0083,0.005,,13,47.1,612.3,0.065
Jul-11-2014,Goose_W,GW,5,D2,Deep,6,zostera,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
Jul-11-2014,Goose_W,GW,5,D3,Deep,3,zostera,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
Jul-11-2014,Goose_W,GW,5,M1,Mid,8,zostera,128,0.3,0.0029,0.0131,0.0102,,12,38.4,460.8,0.1224
Jul-11-2014,Goose_W,GW,5,M2,Mid,5,zostera,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
Jul-11-2014,Goose_W,GW,5,M3,Mid,2,zostera,191,0.8,0.0029,0.0188,0.0159,,24,152.8,3667.2,0.3816
Jul-11-2014,Goose_W,GW,5,S1,Shallow,9,zostera,159,0.4,0.0011,0.0062,0.0051,,19,63.6,1208.4,0.0969
Jul-11-2014,Goose_W,GW,5,S2,Shallow,4,zostera,79,0.4,0.0021,0.0041,0.002,,24,31.6,758.4,0.048
Jul-11-2014,Goose_W,GW,5,S3,Shallow,1,zostera,125,0.25,0.0031,0.01,0.0069,,20,31.25,625,0.138
Jul-29-2014,L_Choked,LC,1,D1,Deep,8,zostera,180.4,1.2,0.0033,0.0312,0.0279,,NA,216.48,NA,NA
Jul-29-2014,L_Choked,LC,1,D2,Deep,1,zostera,,,,,,,NA,,NA,NA
Jul-29-2014,L_Choked,LC,1,D3,Deep,5,zostera,154.4,1.1,0.0028,0.0185,0.0157,,NA,169.84,NA,NA
Jul-29-2014,L_Choked,LC,1,M1,Mid,3,zostera,275.2,0.8,0.0013,0.0148,0.0135,,NA,220.16,NA,NA
Jul-29-2014,L_Choked,LC,1,M2,Mid,7,zostera,132.1,1.1,0.0019,0.0445,0.0426,,NA,145.31,NA,NA
Jul-29-2014,L_Choked,LC,1,M3,Mid,9,zostera,155.6,1.4,0.0032,0.0256,0.0224,,NA,217.84,NA,NA
Jul-29-2014,L_Choked,LC,1,S1,Shallow,2,zostera,210,1.5,0.0035,0.0228,0.0193,,NA,315,NA,NA
Jul-29-2014,L_Choked,LC,1,S2,Shallow,6,zostera,238,1,0.0016,0.0262,0.0246,,NA,238,NA,NA
Jul-29-2014,L_Choked,LC,1,S3,Shallow,4,zostera,88,0.8,0.0029,0.0094,0.0065,,NA,70.4,NA,NA
Aug-02-2014,McMullin_N,MN,8,D1,Deep,2,zostera,193.2,0.9,0.0021,0.0239,0.0218,,5,173.88,869.4,0.109
Aug-02-2014,McMullin_N,MN,8,D2,Deep,9,zostera,184,1,0.003,0.0219,0.0189,,2,184,368,0.0378
Aug-02-2014,McMullin_N,MN,8,D3,Deep,1,zostera,155.1,0.8,NA,NA,NA,NA,9,124.08,1116.72,NA
Aug-02-2014,McMullin_N,MN,8,M1,Mid,3,zostera,195.1,0.9,0.0023,0.0184,0.0161,,8,175.59,1404.72,0.1288
Aug-02-2014,McMullin_N,MN,8,M2,Mid,6,zostera,147.8,0.7,0.002,0.0097,0.0077,,8,103.46,827.68,0.0616
Aug-02-2014,McMullin_N,MN,8,M3,Mid,7,zostera,212.2,0.8,0.0019,0.0224,0.0205,,14,169.76,2376.64,0.287
Aug-02-2014,McMullin_N,MN,8,S1,Shallow,4,zostera,175.4,1,0.0022,0.0207,0.0185,,12,175.4,2104.8,0.222
Aug-02-2014,McMullin_N,MN,8,S2,Shallow,5,zostera,216,0.9,0.002,0.025,0.023,,9,194.4,1749.6,0.207
Aug-02-2014,McMullin_N,MN,8,S3,Shallow,8,zostera,197.8,0.8,0.0032,0.0234,0.0202,,11,158.24,1740.64,0.2222
Jul-13-2014,McMullin_S,MS,7,D1,Deep,3,zostera,172,1.1,0.0012,0.0275,0.0263,,21,189.2,3973.2,0.5523
Jul-13-2014,McMullin_S,MS,7,D2,Deep,4,zostera,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
Jul-13-2014,McMullin_S,MS,7,D3,Deep,7,zostera,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
Jul-13-2014,McMullin_S,MS,7,M1,Mid,9,zostera,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
Jul-13-2014,McMullin_S,MS,7,M2,Mid,5,zostera,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
Jul-13-2014,McMullin_S,MS,7,M3,Mid,6,zostera,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
Jul-13-2014,McMullin_S,MS,7,S1,Shallow,2,zostera,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
Jul-13-2014,McMullin_S,MS,7,S2,Shallow,8,zostera,180,1,0.0012,0.024,0.0228,,13,180,2340,0.2964
Jul-13-2014,McMullin_S,MS,7,S3,Shallow,1,zostera,197,1,0.0012,0.029,0.0278,,15,197,2955,0.417
Aug-04-2014,N_Triquet,NT,4,D1,Deep,9,zostera,195,NA,0.0027,0.025,0.0223,,4,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,D1,Deep,9,smithora,NA,NA,0.0027,0.003,0.0003,,NA,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,D2,Deep,7,zostera,181,0.8,0.0019,0.023,0.0211,,5,144.8,724,0.1055
Aug-04-2014,N_Triquet,NT,4,D3,Deep,8,zostera,148,0.8,0.003,0.0178,0.0148,,9,118.4,1065.6,0.1332
Aug-04-2014,N_Triquet,NT,4,D3,Deep,8,smithora,NA,NA,0.0007,0.0022,0.0015,,NA,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,M1,Mid,1,zostera,142,0.6,0.0018,0.0116,0.0098,,4,85.2,340.8,0.0392
Aug-04-2014,N_Triquet,NT,4,M1,Mid,1,smithora,NA,NA,0.0011,0.0015,0.0004,,NA,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,M2,Mid,3,zostera,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,M3,Mid,4,zostera,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,S1,Shallow,6,zostera,197,1,0.003,0.0382,0.0352,,4,197,788,0.1408
Aug-04-2014,N_Triquet,NT,4,S1,Shallow,6,smithora,NA,NA,0.0017,0.0084,0.0067,,NA,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,S2,Shallow,2,zostera,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
Aug-04-2014,N_Triquet,NT,4,S3,Shallow,5,zostera,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,D1,Deep,7,zostera,187,0.8,0.0014,0.026,0.0246,,7,149.6,1047.2,0.1722
Jul-09-2014,Sandspit,SC,2,D1,Deep,7,smithora,NA,NA,0.0015,0.0191,0.0176,,NA,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,D2,Deep,2,zostera,192,1,0.0013,0.0245,0.0232,,6,192,1152,0.1392
Jul-09-2014,Sandspit,SC,2,D2,Deep,2,smithora,NA,NA,0.0015,0.0183,0.0168,,NA,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,D3,Deep,NA,zostera,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,M1,Mid,6,zostera,160,0.8,0.0019,0.0169,0.015,,5,128,640,0.075
Jul-09-2014,Sandspit,SC,2,M1,Mid,6,smithora,NA,NA,0.0019,0.0169,0.015,,NA,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,M2,Mid,3,zostera,144,1,0.002,0.0249,0.0229,,7,144,1008,0.1603
Jul-09-2014,Sandspit,SC,2,M2,Mid,3,smithora,NA,NA,0.0015,0.0204,0.0189,,NA,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,M3,Mid,1,zostera,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,S1,Shallow,5,zostera,135,0.8,0.0015,0.0123,0.0108,,5,108,540,0.054
Jul-09-2014,Sandspit,SC,2,S1,Shallow,5,smithora,NA,NA,0.002,0.0167,0.0147,,NA,NA,NA,NA
Jul-09-2014,Sandspit,SC,2,S2,Shallow,4,zostera,132,0.6,0.002,0.0167,0.0147,,6,79.2,475.2,0.0882
Jul-09-2014,Sandspit,SC,2,S3,Shallow,9,zostera,161,1,0.0014,0.0171,0.0157,,3,161,483,0.0471
Jul-09-2014,Sandspit,SC,2,S3,Shallow,9,smithora,NA,NA,0.0014,0.0183,0.0169,,NA,NA,NA,NA
Jul-11-2014,Triquet_B,TB,3,D1,Deep,7,zostera,NA,NA,0.002,0.0162,0.0142,,14,NA,NA,0.1988
Jul-11-2014,Triquet_B,TB,3,D2,Deep,1,zostera,159,1,0.007,0.0304,0.0234,,19,159,3021,0.4446
Jul-13-2014,Triquet_B,TB,3,D3,Deep,4,zostera,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
Jul-11-2014,Triquet_B,TB,3,M1,Mid,8,zostera,1,0.6,0.0028,0.0107,0.0079,,19,0.6,11.4,0.1501
Jul-11-2014,Triquet_B,TB,3,M2,Mid,5,zostera,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
Jul-11-2014,Triquet_B,TB,3,M3,Mid,6,zostera,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
Jul-11-2014,Triquet_B,TB,3,S1,Shallow,9,zostera,NA,NA,0.0029,0.0098,0.0069,,18,,0,0.1242
Jul-11-2014,Triquet_B,TB,3,S2,Shallow,2,zostera,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
Jul-11-2014,Triquet_B,TB,3,S3,Shallow,3,zostera,162,0.6,0.003,0.0106,0.0076,,9,97.2,874.8,0.0684
